Index,DigitZero,DigitOne,DigitTwo,DigitThree,DigitFour,DigitFive,DigitSix,DigitSeven,DigitEight,DigitNine,mean,std
0,0.0056,0.0040,0.0052,0.0048,0.0054,0.0038,0.0044,0.0041,0.0050,0.0040,0.0046,0.0007
1,0.0058,0.0053,0.0060,0.0050,0.0060,0.0044,0.0049,0.0047,0.0055,0.0045,0.0052,0.0006
2,0.0061,0.0069,0.0070,0.0054,0.0069,0.0051,0.0056,0.0056,0.0061,0.0053,0.0060,0.0007
3,0.0064,0.0091,0.0083,0.0058,0.0083,0.0060,0.0065,0.0067,0.0069,0.0061,0.0070,0.0011
4,0.0068,0.0114,0.0094,0.0064,0.0097,0.0071,0.0075,0.0079,0.0079,0.0071,0.0081,0.0016
5,0.0071,0.0140,0.0107,0.0071,0.0114,0.0085,0.0085,0.0093,0.0086,0.0086,0.0094,0.0021
6,0.0075,0.0165,0.0122,0.0077,0.0134,0.0095,0.0095,0.0110,0.0094,0.0100,0.0107,0.0027
7,0.0079,0.0189,0.0140,0.0083,0.0150,0.0106,0.0106,0.0126,0.0101,0.0113,0.0119,0.0033
8,0.0083,0.0214,0.0160,0.0090,0.0164,0.0117,0.0121,0.0141,0.0107,0.0124,0.0132,0.0039
9,0.0087,0.0238,0.0180,0.0097,0.0177,0.0128,0.0131,0.0155,0.0114,0.0137,0.0145,0.0045
mean,0.0070,0.0131,0.0107,0.0069,0.0110,0.0080,0.0083,0.0091,0.0082,0.0083,0.0091,0.0020
std,0.0011,0.0069,0.0043,0.0017,0.0045,0.0032,0.0030,0.0040,0.0023,0.0035,0.0034,0.0016
