,digit0,digit1,digit2,digit3,digit4,digit5,digit6,digit7,digit8,digit9,mean,std
0,0.0059162537,0.0043293983,0.006105627,0.0055922763,0.0058300644,0.0041569294,0.0051207906,0.004415487,0.006889146,0.004661396,0.0053017368,0.00090624526
1,0.0063480106,0.005097635,0.006535248,0.0062108366,0.006988606,0.004900779,0.005666773,0.005114581,0.007957963,0.0053838654,0.0060204295,0.0009750225
2,0.0068422137,0.0054929787,0.006832056,0.006368942,0.008129281,0.0061595044,0.006161149,0.0056116837,0.009239532,0.005743149,0.006658049,0.0011907571
3,0.006817484,0.006452534,0.0065540997,0.007066823,0.008927353,0.0061872452,0.0074462034,0.0067129624,0.012798589,0.0058792327,0.007484252,0.0020474324
4,0.007246109,0.007598383,0.007122834,0.0077506797,0.010478688,0.0070619998,0.008212129,0.0075155348,0.012517257,0.006895426,0.008239904,0.0018231482
5,0.0074971924,0.008087675,0.0093757715,0.008853171,0.010182639,0.008808204,0.009028969,0.009084075,0.0123901125,0.0072159916,0.00905238,0.0014660972
6,0.0074922936,0.008319167,0.008786298,0.0093606,0.012376008,0.009226655,0.00985807,0.0082254,0.012675619,0.008047588,0.009436769,0.0017703447
7,0.007958475,0.008424535,0.0098807,0.010128028,0.014274239,0.010477728,0.010798322,0.008383045,0.011014517,0.009380338,0.010071993,0.0018193753
8,0.008593935,0.008739537,0.009563229,0.010831364,0.014810122,0.011228844,0.012345219,0.008656515,0.013828751,0.011693999,0.011029151,0.002194374
9,0.009052505,0.0086993845,0.01030112,0.010601424,0.013279236,0.013744182,0.01261127,0.008881102,0.0136629585,0.0103668235,0.011120001,0.0020246396
mean,0.0073764473,0.007124123,0.008105698,0.008276415,0.010527624,0.008195207,0.008724889,0.0072600385,0.011297444,0.0075267805,0.008441466,0.0014099525
std,0.00096970104,0.0016462879,0.0016204749,0.0019356074,0.0030982224,0.0030416502,0.0026811846,0.0016955587,0.002443543,0.0023173725,0.0021449602,0.00068879605
